index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
172	 |	 -0.00429484	 -0.022762	 -0.0212213	 -0.00814363	 -0.00030276	 
173	 |	 -0.00454409	 -0.0241483	 -0.0233373	 -0.00863833	 -9.825e-05	 
174	 |	 -0.00452261	 -0.0244162	 -0.0237275	 -0.00811769	 0	 
175	 |	 -0.00208387	 -0.0235713	 -0.0222742	 -0.0141917	 -0.00012115	 
176	 |	 -0.00225717	 -0.0252817	 -0.0244107	 -0.014295	 -4.104e-05	 
177	 |	 -0.00242584	 -0.0253665	 -0.0246906	 -0.0142702	 0	 
178	 |	 0	 -0.0246253	 -0.0233838	 -0.189462	 0	 
179	 |	 0	 -0.0262716	 -0.025453	 -0.19057	 0	 
180	 |	 0	 -0.0264068	 -0.025895	 -0.18944	 0	 
181	 |	 -0.2007	 -0.00823734	 -0.0079641	 -7.2e-07	 -4.23e-06	 
182	 |	 -0.202766	 -0.00965113	 -0.00968966	 -2.013e-05	 -7.28e-06	 
183	 |	 -0.201557	 -0.00979699	 -0.00997962	 -1.812e-05	 0	 
184	 |	 -0.124476	 -0.00889392	 -0.00853507	 4.04e-06	 -6.04e-06	 
185	 |	 -0.126541	 -0.0101157	 -0.0102756	 -3.11e-05	 -3e-06	 
186	 |	 -0.126368	 -0.0102174	 -0.0105667	 -1.776e-05	 0	 
187	 |	 -0.114815	 -0.00905407	 -0.00867777	 -7.4e-07	 -6.58e-06	 
188	 |	 -0.116714	 -0.0102814	 -0.0104198	 -3.11e-05	 -3.11e-06	 
189	 |	 -0.116164	 -0.0106544	 -0.0106909	 -1.721e-05	 0	 
